Product_ID,SKU,Plan_Type,Module,Base_Monthly_Price_USD,Included_Licenses,API_Limit_Monthly,SLA_Uptime_Pct,Support_Level,AI_Features_Included
30,CRM-AI,Professional,AI,1500,100,100000,99.5,Standard,No
16,CRM-Marketing,Ultimate,Marketing,8000,2000,2000000,99.99,Dedicated,Yes
25,CRM-Platform,Starter,Platform,500,25,10000,99.0,Community,No
18,CRM-Analytics,Professional,Analytics,1500,100,100000,99.5,Standard,No
9,CRM-Service,Starter,Service,500,25,10000,99.0,Community,No
10,CRM-Service,Professional,Service,1500,100,100000,99.5,Standard,No
31,CRM-AI,Enterprise,AI,4000,500,500000,99.9,Premium,Yes
26,CRM-Platform,Professional,Platform,1500,100,100000,99.5,Standard,No
13,CRM-Marketing,Starter,Marketing,500,25,10000,99.0,Community,No
1,CRM-Core,Starter,Core,500,25,10000,99.0,Community,No
5,CRM-Sales,Starter,Sales,500,25,10000,99.0,Community,No
17,CRM-Analytics,Starter,Analytics,500,25,10000,99.0,Community,No
6,CRM-Sales,Professional,Sales,1500,100,100000,99.5,Standard,No
14,CRM-Marketing,Professional,Marketing,1500,100,100000,99.5,Standard,No
12,CRM-Service,Ultimate,Service,8000,2000,2000000,99.99,Dedicated,Yes
24,CRM-Commerce,Ultimate,Commerce,8000,2000,2000000,99.99,Dedicated,Yes
2,CRM-Core,Professional,Core,1500,100,100000,99.5,Standard,No
3,CRM-Core,Enterprise,Core,4000,500,500000,99.9,Premium,Yes
27,CRM-Platform,Enterprise,Platform,4000,500,500000,99.9,Premium,Yes
4,CRM-Core,Ultimate,Core,8000,2000,2000000,99.99,Dedicated,Yes
22,CRM-Commerce,Professional,Commerce,1500,100,100000,99.5,Standard,No
28,CRM-Platform,Ultimate,Platform,8000,2000,2000000,99.99,Dedicated,Yes
23,CRM-Commerce,Enterprise,Commerce,4000,500,500000,99.9,Premium,Yes
19,CRM-Analytics,Enterprise,Analytics,4000,500,500000,99.9,Premium,Yes
32,CRM-AI,Ultimate,AI,8000,2000,2000000,99.99,Dedicated,Yes
21,CRM-Commerce,Starter,Commerce,500,25,10000,99.0,Community,No
8,CRM-Sales,Ultimate,Sales,8000,2000,2000000,99.99,Dedicated,Yes
11,CRM-Service,Enterprise,Service,4000,500,500000,99.9,Premium,Yes
15,CRM-Marketing,Enterprise,Marketing,4000,500,500000,99.9,Premium,Yes
29,CRM-AI,Starter,AI,500,25,10000,99.0,Community,No
20,CRM-Analytics,Ultimate,Analytics,8000,2000,2000000,99.99,Dedicated,Yes
7,CRM-Sales,Enterprise,Sales,4000,500,500000,99.9,Premium,Yes
